Latitud,Longitud,
19.48147,-98.32786,TEXTO_PK
19.49002,-98.32748,TEXTO_PK
19.49894,-98.32539,TEXTO_PK
19.50529,-98.3203,TEXTO_PK
19.51409,-98.3185,TEXTO_PK
19.52286,-98.32007,TEXTO_PK
19.53157,-98.32028,TEXTO_PK
19.54168,-98.32247,TEXTO_PK
19.54883,-98.32133,TEXTO_PK
19.55719,-98.32159,TEXTO_PK
19.56364,-98.32776,TEXTO_PK
19.5647,-98.33547,TEXTO_PK
19.00057,-98.39796,TRAZADO_23_06_15__PREDIOS
19.00055,-98.39798,TRAZADO_23_06_15__PREDIOS
19.00037,-98.39778,TRAZADO_23_06_15__PREDIOS
38.13227,-91.69902,TRAZADO_23_06_15__PREDIOS
38.13222,-91.69893,DEFPOINTS
38.13229,-91.699,DEFPOINTS
38.13227,-91.69903,DEFPOINTS
38.13236,-91.69902,TRAZADO_23_06_15__PREDIOS
38.13238,-91.69893,DEFPOINTS
38.13233,-91.699,DEFPOINTS
38.13234,-91.69902,DEFPOINTS
19.1981,-98.33278,TRAZADO_23_06_15__PREDIOS
18.74058,-98.74917,TRAZADO_23_06_15__PREDIOS
18.73923,-98.75025,TRAZADO_23_06_15__PREDIOS
18.73743,-98.75077,TRAZADO_23_06_15__PREDIOS
18.73003,-98.78597,TRAZADO_23_06_15__PREDIOS
18.73013,-98.75245,TRAZADO_23_06_15__PREDIOS
18.73005,-98.78398,TRAZADO_23_06_15__PREDIOS
18.73032,-98.78531,TRAZADO_23_06_15__PREDIOS
18.72941,-98.78182,TRAZADO_23_06_15__PREDIOS
18.72966,-98.78292,TRAZADO_23_06_15__PREDIOS
18.72881,-98.78041,TRAZADO_23_06_15__PREDIOS
18.72802,-98.78165,TRAZADO_23_06_15__PREDIOS
18.72832,-98.77924,TRAZADO_23_06_15__PREDIOS
18.72792,-98.77973,TRAZADO_23_06_15__PREDIOS
18.72796,-98.78025,TRAZADO_23_06_15__PREDIOS
18.72687,-98.77181,TRAZADO_23_06_15__PREDIOS
18.72757,-98.77865,TRAZADO_23_06_15__PREDIOS
18.72755,-98.77665,TRAZADO_23_06_15__PREDIOS
18.72702,-98.77387,TRAZADO_23_06_15__PREDIOS
18.72681,-98.77245,TRAZADO_23_06_15__PREDIOS
18.72656,-98.77117,TRAZADO_23_06_15__PREDIOS
18.72716,-98.77785,TRAZADO_23_06_15__PREDIOS
18.72712,-98.77716,TRAZADO_23_06_15__PREDIOS
18.72658,-98.77575,TRAZADO_23_06_15__PREDIOS
18.72664,-98.77508,TRAZADO_23_06_15__PREDIOS
18.72623,-98.77329,TRAZADO_23_06_15__PREDIOS
18.71891,-98.76114,TRAZADO_23_06_15__PREDIOS
18.7197,-98.76377,TRAZADO_23_06_15__PREDIOS
18.72039,-98.76581,TRAZADO_23_06_15__PREDIOS
18.72111,-98.76658,TRAZADO_23_06_15__PREDIOS
18.72141,-98.76763,TRAZADO_23_06_15__PREDIOS
18.72247,-98.75441,TRAZADO_23_06_15__PREDIOS
18.72495,-98.75482,TRAZADO_23_06_15__PREDIOS
18.72415,-98.75494,TRAZADO_23_06_15__PREDIOS
18.72602,-98.75352,TRAZADO_23_06_15__PREDIOS
18.72779,-98.75384,TRAZADO_23_06_15__PREDIOS
18.72862,-98.75301,TRAZADO_23_06_15__PREDIOS
18.76167,-98.85276,TRAZADO_23_06_15__PREDIOS
18.7847,-98.89017,TRAZADO_23_06_15__PREDIOS
18.77023,-98.89284,TRAZADO_23_06_15__PREDIOS
18.76819,-98.89046,TRAZADO_23_06_15__PREDIOS
18.72691,-98.77445,TRAZADO_23_06_15__PREDIOS
18.72356,-98.75426,TRAZADO_23_06_15__PREDIOS
18.7293,-98.78219,TRAZADO_23_06_15__PREDIOS
18.72801,-98.7788,TRAZADO_23_06_15__PREDIOS
18.72043,-98.76666,TRAZADO_23_06_15__PREDIOS
18.79241,-98.88647,TRAZADO_23_06_15__PREDIOS
18.79081,-98.88783,TRAZADO_23_06_15__PREDIOS
18.7718,-98.89249,TRAZADO_23_06_15__PREDIOS
18.76846,-98.88778,TRAZADO_23_06_15__PREDIOS
18.76808,-98.88445,TRAZADO_23_06_15__PREDIOS
18.76224,-98.85717,TRAZADO_23_06_15__PREDIOS
18.72732,-98.77732,TRAZADO_23_06_15__PREDIOS
18.72692,-98.77348,TRAZADO_23_06_15__PREDIOS
